chifra names  --all
TEST[DATE|TIME] All:  true
TEST[DATE|TIME] Format:  txt
tags	address	name	symbol	decimals
80-Prefund	0x005d0ee8155ec0a6ff6808552ca5f16bb5be323a	Prefund_0007		
80-Malicious:DaoDrain	0x005f5cee7a43331d5a3d3eec71305925a62f34b6	DAO Drain 086		
31-Gitcoin:Grants	0x006087d6ac20840c23ba298512db454a05c19b10	Grant 0743 #fittogetherdao (like Pooltogether for Fitness and Wellbeing)		
50-Tokens:ERC20	0x006bea43baa3f7a6f765f14f10a1a1b08334ef45	Stox	STX	18
31-Giveth:Project	0x006cfc89e7f521ce3290b200df9530dce911b896	St. Ignatius Martyr Catholic Church		
80-Malicious:Shanghai	0x006e61aa7e7ce25b8dad331d5181f2fbe5c23a54	Shanghai Cleaner Contract		
31-Giveth:Project	0x0072d5887bc9979168835d8ac37ca1c2f6a4dac9	Ultimate Unicorns		
80-Prefund	0x007622d84a234bb8b078230fcf84b67ae9a8acae	Prefund_0008		
50-Tokens:ERC20	0x0077cd5eca22e86177cc465633227652ff02f32d	BrightID_Main_DAO	BMAIN	18
31-Gitcoin:Grants	0x007b003c4d0145b512286494d5ae123aeef29d9e	Grant 0845 Remote Developer Bootcamp		
80-Prefund	0x007b9fc31905b4994b04c9e2cfdc5e2770503f42	Prefund_0009		
91-Early:Addresses	0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1	Ethventures4		
50-Tokens:ERC20	0x007d63afd542886570046da400c403f0dc63bd08	Zō Baby 象の赤ちゃん	ZOBABY	18
50-Tokens:ERC20	0x007dfb0c30f55ccac0191387fe5ffc9cfde519c0	AINU TOKEN	AINU	18
80-Prefund	0x007f4a23ca00cd043d25c2888c1aa5688f81a344	Prefund_0010		
80-Prefund	0x008639dabbe3aeac887b5dc0e43e13bcd287d76c	Prefund_0011		
31-Gitcoin:Grants	0x0087a081a9b430fd8f688c6ac5dd24421bfb060d	Grant 0779 DeFi Latam		
80-Prefund	0x0089508679abf8c71bf6781687120e3e6a84584d	Prefund_0012		
80-Prefund	0x008fc7cbadffbd0d7fe44f8dfd60a79d721a1c9c	Prefund_0013		
80-Malicious	0x0093e5f2a850268c0ca3093c7ea53731296487eb	Polygon Exploiter First Sender		
80-Prefund	0x009560a3de627868f91fa8bfe1c1b7afaf08186b	Prefund_0014		
91-Early:Addresses	0x0096800019bf4eca0bed5a714a553ecf844884c5	Etheropt_id107_cnt215_5mo		
80-Prefund	0x00969747f7a5b30645fe00e44901435ace24cc37	Prefund_0015		
80-Prefund	0x009a6d7db326679b77c90391a7476d238f3ba33e	Prefund_0016		
31-Giveth:Project	0x009a82e5762189384bf2880a2d21f75e209eee12	UNRWA USA		
50-Tokens:ERC20	0x009c216b7e86e5c38af14fcd8c07aab3a2e7888e	Writing Hedge Contracts DAI	writeDAI	18
91-Early:Addresses	0x009e06646ac4dece817f3e859850acd9b239bc48	@firepower		
50-Tokens:ERC20	0x009e864923b49263c7f10d19b7f8ab7a9a5aad33	Knoxstertoken	FKX	18
80-Prefund	0x009eef0a0886056e3f69211853b9b7457f3782e4	Prefund_0017		
80-Prefund	0x009fdbf44e1f4a6362b769c39a475f95a96c2bc7	Prefund_0018		
31-Gitcoin:Grants	0x00a33c8379b03085ad0c0b4f6fb38c63deba8475	Grant 4103 - Supplements Death Match		
80-Prefund	0x00a5797f52c9d58f189f36b1d45d1bf6041f2f6b	Prefund_0019		
80-Prefund	0x00aa5381b2138ebeffc191d5d8c391753b7098d2	Prefund_0020		
80-Prefund	0x00aada25ea2286709abb422d41923fd380cd04c7	Prefund_0021		
80-Prefund	0x00acbfb2f25a5485c739ef70a44eeeeb7c65a66f	Prefund_0022		
80-Prefund	0x00acc6f082a442828764d11f58d6894ae408f073	Prefund_0023		
80-Prefund	0x00b277b099a8e866ca0ec65bcb87284fd142a582	Prefund_0024		
31-Gitcoin:Grants	0x00b491d250b9bcce482b6e70321b0a5339d183a6	Grant 0976 Magical Machine Money		
80-Prefund	0x00bdd4013aa31c04616c2bc9785f2788f915679b	Prefund_0025		
80-Prefund	0x00c27d63fde24b92ee8a1e7ed5d26d8dc5c83b03	Prefund_0026		
50-Tokens:ERC721	0x00c396383400a1ef2eb401052dbf5d989b2da481	Cypher City	CYPHER	18
80-Prefund	0x00c40fe2095423509b9fd9b754323158af2310f3	Prefund_0027		
50-Tokens:ERC20	0x00c4b398500645eb5da00a1a379a88b11683ba01	Eximchain Token	EXC	18
50-Tokens:ERC20	0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7	SKALE	SKL	18
31-Giveth:Project	0x00ca33970150dff4fdd16f4992810117296768dd	Creative Development Collective		
31-Gitcoin:Grants	0x00cf36853aa4024fb5bf5cc377dfd85844b411a0	Grant 0143 Dappnode - Panvala League		
50-Tokens:ERC20	0x00d0f137b51692d0ac708bde7b367a373865cffe	Zapper.Fi : Balancer Remove		
80-Prefund	0x00d75ed60c774f8b3a5a5173fb1833ad7105a2d9	Prefund_0028		
80-Prefund	0x00d78d89b35f472716eceafebf600527d3a1f969	Prefund_0029		
31-Giveth:Project	0x00d7e52cb140df6ab91291e289318ad62a18f80c	ReFi In The Classroom		
80-Prefund	0x00dae27b350bae20c5652124af5d8b5cba001ec1	Prefund_0030		
80-Prefund	0x00dc01cbf44978a42e8de8e436edf94205cfb6ec	Prefund_0031		
31-Gitcoin:Admin	0x00de4b13153673bcae2616b67bf822500d325fc3	Gitcoin Maintainer		
31-Gitcoin:Grants	0x00e4f5f746242e4d115bd65aac7c08fe5d38fb21	Grant 1839 the Etherchest Ecosystem		
80-Prefund	0x00e681bc2d10db62de85848324492250348e90bf	Prefund_0032		
80-Prefund	0x00f463e137dcf625fbf3bca39eca98d2b968cf7f	Prefund_0033		
31-Gitcoin:Grants	0x00fe460a15b49d09f39b057d0f1a7b9444f4f2be	Grant 0624 Nescience Software Portfolio Rebalancing Direct Indexing		
80-Prefund	0x010007394b8b7565a1658af88ce463499135d6b7	Prefund_0034		
80-Malicious:DaoDrain	0x0101f3be8ebb4bbd39a2e3b9a3639d4259832fd9	DAO Drain 075		1
50-Tokens:ERC20	0x010496d8f3269ee9b05060bdf40c2d66e83e61dd	Digg	DIGG	18
50-Tokens:ERC20	0x010589b7c33034b802f7dba2c88cc9cec0f46673	SoundMoneyCoin	SOV	8
31-Giveth:Project	0x0109295ece0afa326f651d455c7aed0cb31c9685	Bring a stop to global poverty and alleviate hunger		
31-Giveth:Project	0x0109c0faae3f358bce232dff482e2d6eca1f4dab	FARE - Food Allergy Research &amp; Education		
80-Prefund	0x010df1df4bed23760d2d1c03781586ddf7918e54	Prefund_0035		
31-Giveth:Project	0x010f0c8b31ba0cefe2764c373fa23e8635becb60	Lutheran World Relief		
80-Prefund	0x010f4a98dfa1d9799bf5c796fb550efbe7ecd877	Prefund_0036		
50-Tokens:ERC20	0x01112a60f427205dca6e229425306923c3cc2073	FARM_UNI-V2	fUNI-V2	18
80-Prefund	0x01155057002f6b0d18acb9388d3bc8129f8f7a20	Prefund_0037		
31-Gitcoin:Grants	0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70	Grant 0790 Loft Radio		
31-Gitcoin:Grants	0x011c2c1433b36a524b548444ae2f20c015427d04	Grant 0491 - Tokamak Network: Decentralized, Scalable, Turing Complete Layer 2 Plasma		
34-ENS	0x012233b3c8177f0778d910ed88170b82de3bfe57	Old ENS Registrar		
30-Contracts	0x0122676358aee287246b2a84377c8ab664d013cb	dYdX 0x Wrapper		
80-Prefund	0x01226e0ad8d62277b162621c62c928e96e0b9a8c	Prefund_0038		
31-Giveth:Project	0x012546d756867d4a88cd3322bbb72d787e49ebf3	MetaGame		
80-Prefund	0x0126e12ebc17035f35c0e9d11dd148393c405d7a	Prefund_0039		
80-Prefund	0x012f396a2b5eb83559bac515e5210df2c8c362ba	Prefund_0040		
37-SelfDestructed	0x0133aa47b6197d0ba090bf2cd96626eb71ffd13c	Chainlink BTC-ETH Aggregator		
80-Prefund	0x0134ff38155fabae94fd35c4ffe1d79de7ef9c59	Prefund_0041		
80-Prefund	0x0136a5af6c3299c6b5f005fdaddb148c070b299b	Prefund_0042		
31-Giveth:Project	0x013e247651a601535eda98528b2961813406d96e	Free Arts NYC		
50-Tokens:ERC20	0x0142c3b2fc51819b5af5dfc4aa52df9722790851	Paycentos Token	PYN	18
31-Giveth:Project	0x014797cc3d15f6ea6bb220a32a465ac8f7a5e3b8	FUTURO NATIVO		
80-Prefund	0x01488ad3da603c4cdd6cb0b7a1e30d2a30c8fc38	Prefund_0043		
80-Prefund	0x014974a1f46bf204944a853111e52f1602617def	Prefund_0044		
50-Tokens:ERC20	0x014b50466590340d41307cc54dcee990c8d58aa8	ICOS		6
80-Prefund	0x014b7f67b14f5d983d87014f570c8b993b9872b5	Prefund_0045		
31-Gitcoin:Grants	0x014ffcf34d8515535b99d6aef654258c237168b6	Grant 1850 Fireth		
80-Prefund	0x0151fa5d17a2dce2d7f1eb39ef7fe2ad213d5d89	Prefund_0046		
30-Contracts	0x015531a044bae03bf4dab1ceabfc232a969b7175	GU: Rare Pack		
80-Prefund	0x01577afd4e50890247c9b10d44af73229aec884f	Prefund_0047		
31-Gitcoin:Grants	0x015bf68ef11bd55e43a119b5752c4b3becae7f24	Grant 0627 Veridex		
30-Contracts	0x015c7c7a7d65bbdb117c573007219107bd7486f9	Infura Transactions Contract		
80-Prefund	0x015f097d9acddcddafaf2a107eb93a40fc94b04c	Prefund_0048		
31-Giveth:Project	0x015f2ec49adc333cd4e0f348c39c506eb3b1837f	NFT Artist Funding		
50-Tokens:ERC20	0x016396044709eb3edc69c44f4d5fa6996917e4e8	KingXChain	KXC	18
50-Tokens:ERC20	0x0168703872fa06741ecaa9dff7803168e83f7ae0	MIRO Token	MIRO	8
80-Prefund	0x0169c1c210eae845e56840412e1f65993ea90fb4	Prefund_0049		
80-Prefund	0x016b60bb6d67928c29fd0313c666da8f1698d9c5	Prefund_0050		
50-Tokens:ERC20	0x016bf078abcacb987f0589a6d3beadd4316922b0	Rari Stable Pool Token	RSPT	18
80-Prefund	0x016c85e1613b900fa357b8283b120e65aefcdd08	Prefund_0051		
31-Gitcoin:Grants	0x017946fc126d57e7823e68c647c24f28e5dc9988	Grant 0190 Groundhog		
31-Gitcoin:Grants	0x018047343e8105fed2c5000912d03815d99f3e48	Grant 1920 Kevin		
50-Tokens:ERC20	0x0180cb7971b47d2faf3d2b52e3b5174e0cb835cc	AIRSHIB	AIRSHIB	18
80-Prefund	0x018492488ba1a292342247b31855a55905fef269	Prefund_0052		
80-Prefund	0x018f20a27b27ec441af723fd9099f2cbb79d6263	Prefund_0053		
91-Early:Addresses	0x01914e9c0594a087f508aceabfca45f57e471388	Wallet_id66_cnt1_5mo		
80-Prefund	0x0191eb547e7bf6976b9b1b577546761de65622e2	Prefund_0054		
91-Early:Miners	0x0193d941b50d91be6567c7ee1c0fe7af498b4137	Miner_0015_427		
50-Tokens:ERC20	0x0198f46f520f33cd4329bd4be380a25a90536cd5	PlayChip	PLA	18
50-Tokens:ERC20	0x0199fd07389c5277c922af2736542e95e24ee689	Saturday Elon	SatElon	9
80-Prefund	0x019d709579ff4bc09fdcdde431dc1447d2c260bc	Prefund_0055		
80-Prefund	0x01a25a5f5af0169b30864c3be4d7563ccd44f09e	Prefund_0056		
80-Prefund	0x01a7d9fa7d0eb1185c67e54da83c2e75db69e39f	Prefund_0057		
80-Prefund	0x01a818135a414210c37c62b625aca1a54611ac36	Prefund_0058		
50-Tokens:ERC20	0x01afc37f4f85babc47c0e2d0eababc7fb49793c8	W-GNT	W-GNT	
50-Tokens:ERC20	0x01b12471f701eca76b583796cf3fd84e2ce6f8ff	Shiba Inu Bone	BONE	18
80-Prefund	0x01b1cae91a3b9559afb33cdc6d689442fdbfe037	Prefund_0059		
80-Prefund	0x01b5b5bc5a117fa08b34ed1db9440608597ac548	Prefund_0060		
50-Tokens:ERC20	0x01b8bcc8b75dd86025b455373f3c0814a060e6a8	DogeRocket	DGRO	18
80-Prefund	0x01bbc14f67af0639aab1441e6a08d4ce7162090f	Prefund_0061		
91-Early:Addresses	0x01bfbb9b1a2abe32ceb0a9f2291e5d7e36e38b20	kissBTC	kissBTC	8
31-Giveth:Project	0x01ca185fdcf1c2001c24e7e2362d3fc1b570ead3	National Association of Free and Charitable Clinics		
50-Tokens:ERC20	0x01cc47d73e69d00b7d8f54f2ae6ddbfa3c2e82e3	Ethereum Developers Night		18
80-Prefund	0x01d03815c61f416b71a2610a2daba59ff6a6de5b	Prefund_0062		
91-Early:Addresses	0x01d04122aeccab138a47103b500f7b3d3b356a27	XYZ	XYZ	18
50-Tokens:ERC20	0x01d1a934129f208dfbe60ef31ca63f4ad2757d84	Ethereum Cherry	ECHERRY 🍒	18
80-Prefund	0x01d599ee0d5f8c38ab2d392e2c65b74c3ce31820	Prefund_0063		
31-Giveth:Project	0x01d6c3db752551baf985f5fc7d47db6f5c9b3a7b	The Jerusalem Hills Therapeutic Centers		
31-Giveth:Project	0x01da64059bc5a81ec78362505faf7bb459c575e4	CARITAS Aotearoa New Zealand		
30-Contracts	0x01da73c4ec1355f953ad0aaca3ef20e342aea92a	Arbitrage Bot		
50-Tokens:ERC20	0x01da76dea59703578040012357b81ffe62015c2d	Cream yETH	crYETH	8
50-Tokens:ERC20	0x01ddc27a46027cb45e39e47cf9204e2e6b0c92cd	🎇Floki Fireworks🎆	FLOKIFIRE	18
80-Prefund	0x01e40521122530d9ac91113c06a0190b6d63850b	Prefund_0064		
80-Prefund	0x01e6415d587b065490f1ed7f21d6e0f386ee6747	Prefund_0065		
80-Prefund	0x01e864d354741b423e6f42851724468c74f5aa9c	Prefund_0066		
80-Prefund	0x01ed5fba8d2eab673aec042d30e4e8a611d8c55a	Prefund_0067		
31-Gitcoin:Grants	0x01f1e9319982ab828203c0276727cf48065434d3	Grant 0602 Realitylearn: Teaching the World About Blockchain		
50-Tokens:ERC20	0x01f7919634ba8146755b617d7bf24076cecfedef	FCC TRUMPBOND	TRUMP	18
80-Prefund	0x01fb8ec12425a04f813e46c54c05748ca6b29aa9	Prefund_0068		
80-Prefund	0x01ff1eb1dead50a7f2f9638fdee6eccf3a7b2ac8	Prefund_0069		
50-Tokens:ERC20	0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f	BF Token	BFT	18
50-Tokens:ERC721	0x020171085bcd43b6fd36ad8c95ad61848b1211a2	yearn Gift NFT	yGIFT	18
91-Early:Miners	0x02020d22dcf88f5edd66b382d7da019f161fb7e3	Miner_0022_294		
80-Prefund	0x020362c3ade878ca90d6b2d889a4cc5510eed5f3	Prefund_0070		
80-Prefund	0x0203ae01d4c41cae1865e04b1f5b53cdfaecae31	Prefund_0071		
80-Prefund	0x02089361a3fe7451fb1f87f01a2d866653dc0b07	Prefund_0072		
